"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @LudwinPicon: Rt por favor. @Ronald_MacKay @amilcarmontejo https://t.co/9zPkj8As70",FALSE,0,NA,2018-10-17 18:04:46,FALSE,NA,"1052621457421930497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isabelimatuj",20,TRUE,FALSE,NA,NA
"@amilcarmontejo Y despu<U+00E9>s la mam<U+00E1> llorando por sus beb<U+00E9>s.",FALSE,0,"amilcarmontejo",2018-10-17 18:03:56,FALSE,"1052615290482319361","1052621247488512000","372126670","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Roxanagome",0,FALSE,FALSE,NA,NA
"@amilcarmontejo @traficogt Colisi<U+00F3>n en el columpio de Vista Hermosa en direcci<U+00F3>n hacia carretera a El Salvador, car<U+2026> https://t.co/2ER2a39sVG",FALSE,0,"amilcarmontejo",2018-10-17 18:03:06,TRUE,NA,"1052621038343913478","372126670","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CrisEricastilla",0,FALSE,FALSE,NA,NA
"@EmisorasUnidas @amilcarmontejo No est<U+00E1>n trabajando, devuelvan el sueldo por dignidad",FALSE,0,"EmisorasUnidas",2018-10-17 18:02:44,FALSE,"1052617312908574721","1052620943699382273","40256008","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ecruzc18",0,FALSE,FALSE,NA,NA
"RT @SSPE15: Yo digo que ya no dejen pasar carros para villanueva desde antes de la fuente  porque solo los est<U+00E1>n enviando de regreso, conge<U+2026>",FALSE,0,NA,2018-10-17 18:02:18,FALSE,NA,"1052620833519222787",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hernandezvtas1",2,TRUE,FALSE,NA,NA
"RT @amilcarmontejo: Acaban de detener a los patojos que amedrentan a conductores y peatones, cerca de Zool<U+00F3>gico La Aurora.

#PNC les encont<U+2026>",FALSE,0,NA,2018-10-17 18:01:49,FALSE,NA,"1052620714300211200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","infoTRAFICOgt",16,TRUE,FALSE,NA,NA
"@amilcarmontejo Quien pone la gasolina?",FALSE,0,"amilcarmontejo",2018-10-17 18:01:33,FALSE,"1052615290482319361","1052620644867866624","372126670","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TruesdalePineda",0,FALSE,FALSE,NA,NA
"@amilcarmontejo https://t.co/Tv0fpgGjSt",FALSE,0,"amilcarmontejo",2018-10-17 18:01:31,FALSE,NA,"1052620638266056705","372126670","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robin_perez1989",0,FALSE,FALSE,NA,NA
"#NoticiaAlInstante
En el #BulevarLiberaci<U+00F3>n y 11 avenida de la #zona13, capturaron a dos #hombres que amedrentaban<U+2026> https://t.co/EgYMCJto90",FALSE,0,NA,2018-10-17 18:01:25,TRUE,NA,"1052620614220075008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","notielvigilante",0,FALSE,FALSE,NA,NA
"RT @carlosmorellana: Carro Mitsubishi P 121GFR @EmixtraGT @CiudadPmt @amilcarmontejo @PNCdeGuatemala https://t.co/AtsOLCJ2R2",FALSE,0,NA,2018-10-17 18:01:25,FALSE,NA,"1052620612244463618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hernandezvtas1",6,TRUE,FALSE,NA,NA
"RT @LudwinPicon: Rt por favor. @Ronald_MacKay @amilcarmontejo https://t.co/9zPkj8As70",FALSE,0,NA,2018-10-17 18:01:18,FALSE,NA,"1052620581961695233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bambucha181284",20,TRUE,FALSE,NA,NA
"#NoticiaAlInstante
En el #BulevarLiberaci<U+00F3>n y 11 avenida de la #zona13, capturaron a dos #hombres que amedrentaban<U+2026> https://t.co/JiTfBGAKQu",FALSE,0,NA,2018-10-17 18:01:15,TRUE,NA,"1052620571530407936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","notivigilante",0,FALSE,FALSE,NA,NA
"RT @LudwinPicon: Rt por favor. @Ronald_MacKay @amilcarmontejo https://t.co/9zPkj8As70",FALSE,0,NA,2018-10-17 18:00:49,FALSE,NA,"1052620461480267778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fscoronado",20,TRUE,FALSE,NA,NA
"@TN23NOTICIAS @amilcarmontejo hay q ver sino son hondure<U+00F1>os muchas",FALSE,0,"TN23NOTICIAS",2018-10-17 17:58:48,FALSE,"1052617334983184386","1052619955076771840","228171408","<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume<U+00A0>for<U+00A0>Android</a>","gerzon2011",0,FALSE,FALSE,NA,NA
"@EmisorasUnidas @amilcarmontejo Es bonita esa calle",FALSE,0,"EmisorasUnidas",2018-10-17 17:58:42,FALSE,"1052617312908574721","1052619929546035202","40256008","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","romancho",0,FALSE,FALSE,NA,NA
"RT @amilcarmontejo: Acaban de detener a los patojos que amedrentan a conductores y peatones, cerca de Zool<U+00F3>gico La Aurora.

#PNC les encont<U+2026>",FALSE,0,NA,2018-10-17 17:57:48,FALSE,NA,"1052619701472251905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","garrido_allan",16,TRUE,FALSE,NA,NA
"RT @LudwinPicon: Rt por favor. @Ronald_MacKay @amilcarmontejo https://t.co/9zPkj8As70",FALSE,0,NA,2018-10-17 17:56:37,FALSE,NA,"1052619403605491712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hernandezvtas1",20,TRUE,FALSE,NA,NA
"@EmisorasUnidas @amilcarmontejo Matasanos....",FALSE,0,"EmisorasUnidas",2018-10-17 17:55:38,FALSE,"1052617312908574721","1052619158167441408","40256008","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","perlamarinamor3",0,FALSE,FALSE,NA,NA
"RT @CanalAntigua: M<U+00E9>dicos realizan concentraci<U+00F3>n afuera del Congreso de la Rep<U+00FA>blica. Fuerzas de seguridad bloquean 9a. avenida y 10 calle<U+2026>",FALSE,0,NA,2018-10-17 17:55:30,FALSE,NA,"1052619124633948160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ernesto1394",5,TRUE,FALSE,NA,NA
"RT @amilcarmontejo: Acaban de detener a los patojos que amedrentan a conductores y peatones, cerca de Zool<U+00F3>gico La Aurora.

#PNC les encont<U+2026>",FALSE,0,NA,2018-10-17 17:54:54,FALSE,NA,"1052618973307654144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ernesto1394",16,TRUE,FALSE,NA,NA
"RT @amilcarmontejo: Acaban de detener a los patojos que amedrentan a conductores y peatones, cerca de Zool<U+00F3>gico La Aurora.

#PNC les encont<U+2026>",FALSE,0,NA,2018-10-17 17:54:16,FALSE,NA,"1052618814834319361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaldonadoAlisan",16,TRUE,FALSE,NA,NA
"RT @amilcarmontejo: Acaban de detener a los patojos que amedrentan a conductores y peatones, cerca de Zool<U+00F3>gico La Aurora.

#PNC les encont<U+2026>",FALSE,0,NA,2018-10-17 17:53:19,FALSE,NA,"1052618574592847873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cadenainfogt",16,TRUE,FALSE,NA,NA
"RT @amilcarmontejo: Podr<U+00ED>a ayudarnos a compartir este mensaje, es para una vecina de la colonia Primero de Julio.

Agradezco su apoyo a otr<U+2026>",FALSE,0,NA,2018-10-17 17:52:04,FALSE,NA,"1052618259869159431",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Judith89569103",209,TRUE,FALSE,NA,NA
